location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
denver,2026-02-07,1,0.1056254097239839,0,0.02915181795756023,0.07647359176642368,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
mesa,2026-02-07,1,0.15937892751561275,0.017977810965644006,0,0.14140111654996876,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
colorado-springs,2026-02-07,1,0.5257191973096791,0,0.44957008441289237,0.0761491128967868,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
weld,2026-02-07,1,0.1244736996955342,0,0.03895411385430229,0.08551958584123193,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
boulder,2026-02-07,1,0.20169664828313721,0,0.02980700069003634,0.17188964759310088,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
larimer,2026-02-07,1,0.13195455596678796,0.004977742301093219,0,0.12697681366569472,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
colorado,2026-02-07,1,0.39954429459240703,0.23336663775973848,0,0.16617765683266855,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
savannah,2026-02-07,1,0.23462044475807087,0,0.046715037557813886,0.187905407200257,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
floyd,2026-02-07,1,0.15253786635067726,0,0.0015928639305962358,0.15094500242008102,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
hall,2026-02-07,1,1.2445452244083086,1.0823124464352927,0,0.1622327779730161,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
marietta,2026-02-07,1,0.1441045569380125,0,0.022784416410658093,0.12132014052735439,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
macon,2026-02-07,1,0.20038812371591733,0,0.11126779715220136,0.08912032656371596,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
henry,2026-02-07,1,0.6808070226510365,0.5297671580314636,0,0.151039864619573,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
cherokee,2026-02-07,1,0.9073040861884754,0.6853797062238057,0,0.2219243799646696,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
athens,2026-02-07,1,1.8826764485571121,1.6497880930370752,0,0.2328883555200365,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
south-augusta,2026-02-07,1,0.23594644346998794,0,0.12801915672090314,0.1079272867490848,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
columbus,2026-02-07,1,0.6086898405353225,0,0.3935231166415739,0.21516672389374858,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
la-grange,2026-02-07,1,0.14336907401680957,0,0.027088067531585706,0.11628100648522387,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
georgia,2026-02-07,1,0.2660423065639205,0,0.1407476769553291,0.1252946296085914,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
indianapolis,2026-02-07,1,0.5790047705173492,0.3699975411097208,0,0.20900722940762848,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
indiana,2026-02-07,1,1.4177104775773153,1.1683662515216404,0,0.2493442260556751,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
bangor,2026-02-07,1,0.9766493905915153,0.7789710378646849,0,0.1976783527268305,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
portland,2026-02-07,1,0.24665641466776536,0.10530292405022514,0,0.1413534906175402,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
maine,2026-02-07,1,0.25137172048290557,0,0.117780804104275,0.1335909163786306,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
baltimore,2026-02-07,1,0.8317120933863854,0.6986171539624534,0,0.13309493942393205,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
frederick,2026-02-07,1,0.26179452186657326,0.17004268169403072,0,0.09175184017254251,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
montgomery,2026-02-07,1,0.6607417693071896,0.5296175048086378,0,0.13112426449855175,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
harford,2026-02-07,1,0.07653125010016895,0.0016825981934865336,0,0.07484865190668241,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
maryland,2026-02-07,1,0.6326273927258121,0.5319486333264245,0,0.10067875939938759,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
worcester,2026-02-07,1,0.6940618223614163,0.5401726325352987,0,0.15388918982611763,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
pittsfield,2026-02-07,1,0.1418095491495398,0.016543822288513206,0,0.12526572686102658,ACCIDDA-InfluPaint,Flu ED visits pct,2026-02-07
